name,carat,cut,color,clarity,depth,table,price,x,y,z
14513,1.35,Ideal,J,VS2,61.4,57,5862,7.1,7.13,4.37
28685,0.3,Good,G,VVS1,64,57,678,4.23,4.27,2.72
50368,0.75,Ideal,F,SI2,59.2,60,2248,5.87,5.92,3.49
7721,0.26,Ideal,F,VS1,60.9,57,580,4.13,4.11,2.51
31082,0.33,Premium,H,VVS1,61.4,59,752,4.42,4.44,2.72
26429,1.52,Ideal,G,VVS1,62.4,55,15959,7.3,7.39,4.58
35900,0.32,Ideal,G,IF,61.3,54,918,4.41,4.47,2.72
27015,2.25,Ideal,I,SI2,62.4,57,17143,8.39,8.32,5.21
30760,0.25,Premium,E,VVS2,62.5,59,740,4.04,4.02,2.52
2205,1.02,Premium,H,I1,62.5,60,3141,6.39,6.41,4
25584,2.01,Very-Good,H,SI2,62.9,55,14426,8.03,8.09,5.07
16788,0.9,Ideal,D,VS2,61.2,56,6689,6.2,6.26,3.81
2468,0.71,Ideal,D,VS1,62.2,55,3192,5.71,5.74,3.56
6508,1.01,Very-Good,G,SI1,62.3,59,4064,6.34,6.37,3.96
44895,0.5,Very-Good,E,VS2,63.4,58,1629,5.06,5.04,3.2
20653,1.26,Ideal,H,VVS2,61.8,56,8941,6.9,6.93,4.28
38210,0.43,Ideal,F,SI1,61.7,54,1016,4.9,4.86,3.01
13359,0.24,Very-Good,E,VS2,62.1,59,419,3.98,4.01,2.48
3260,0.7,Very-Good,E,VS1,60.7,57,3358,5.72,5.75,3.48
46272,0.54,Ideal,G,VS1,61.8,54,1754,5.22,5.24,3.23
23875,2.03,Very-Good,J,SI2,61.7,61,11968,8.04,8.18,5
17434,1.41,Premium,D,SI2,61.1,56,6988,7.19,7.15,4.38
25,0.31,Very-Good,J,SI1,58.1,62,353,4.44,4.47,2.59
22130,1.5,Very-Good,I,VS1,62.2,59,10164,7.27,7.3,4.53
53295,0.3,Very-Good,I,VVS1,60.5,60,552,4.32,4.34,2.62
44404,0.55,Ideal,H,SI1,61.4,56,1584,5.28,5.31,3.25
40387,0.42,Ideal,D,VVS2,61.7,57,1132,4.8,4.82,2.97
11416,1.5,Fair,H,SI2,66,64,5000,7.1,6.97,4.64
47315,0.23,Very-Good,E,VVS2,61.5,59,530,3.95,3.98,2.44
5724,0.25,Very-Good,E,VVS2,63,55,575,4,4.03,2.53
30624,0.3,Premium,D,SI2,60.2,60,447,4.32,4.35,2.61
9803,0.9,Very-Good,D,VS2,63,62,4668,6.06,6.13,3.84
