Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Land Girls,146083,146083,,8000000,Jun 12 1998,R,,Gramercy,,,,,,6.1,1071
"First Love, Last Rites",10876,10876,,300000,Aug 07 1998,R,,Strand,,Drama,,,,6.9,207
I Married a Strange Person,203134,203134,,250000,Aug 28 1998,,,Lionsgate,,Comedy,,,,6.8,865
Let's Talk About Sex,373615,373615,,300000,Sep 11 1998,,,Fine Line,,Comedy,,,13,,
Slam,1009819,1087521,,1000000,Oct 09 1998,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62,3.4,165
Mississippi Mermaid,24551,2624551,,1600000,Jan 15 1999,,,MGM,,,,,,,
Following,44705,44705,,6000,Apr 04 1999,R,,Zeitgeist,,,,Christopher Nolan,,7.7,15133
Foolish,6026908,6026908,,1600000,Apr 09 1999,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,3.8,353
Pirates,1641825,6341825,,40000000,Jul 01 1986,R,,,,,,Roman Polanski,25,5.8,3275
Duel in the Sun,20400000,20400000,,6000000,Dec 31 2046,,,,,,,,86,7,2906
Tom Jones,37600000,37600000,,1000000,Oct 07 1963,,,,,,,,81,7,4035
Oliver!,37402877,37402877,,10000000,Dec 11 1968,,,Sony Pictures,,Musical,,,84,7.5,9111
To Kill A Mockingbird,13129846,13129846,,2000000,Dec 25 1962,,,Universal,,,,,97,8.4,82786
"Tora, Tora, Tora",29548291,29548291,,25000000,Sep 23 1970,,,,,,,Richard Fleischer,,,
Hollywood Shuffle,5228617,5228617,,100000,Mar 01 1987,,,,,,,,87,6.8,1532
Over the Hill to the Poorhouse,3000000,3000000,,100000,Sep 17 2020,,,,,,,,,,
Wilson,2000000,2000000,,5200000,Aug 01 2044,,,,,,,,,7,451
Darling Lili,5000000,5000000,,22000000,Jan 01 1970,,,,,,,Blake Edwards,,6.1,858
The Ten Commandments,80000000,80000000,,13500000,Oct 05 1956,,,,,,,,90,2.5,1677
12 Angry Men,0,0,,340000,Apr 13 1957,,,United Artists,Original Screenplay,Drama,,Sidney Lumet,,8.9,119101
Twelve Monkeys,57141459,168841459,,29000000,Dec 27 1995,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,,8.1,169858
1776,0,0,,4000000,Nov 09 1972,PG,,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57,7,4099
1941,34175000,94875000,,32000000,Dec 14 1979,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364
Chacun sa nuit,18435,18435,,1900000,Jun 29 2007,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365
2001: A Space Odyssey,56700000,68700000,,10500000,Apr 02 1968,,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96,8.4,160342
"20,000 Leagues Under the Sea",28200000,28200000,,5000000,Dec 23 1954,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92,,
"20,000 Leagues Under the Sea",8000000,8000000,,200000,Dec 24 2016,,,,Based on Book/Short Story,Adventure,,,,,
24 7: Twenty Four Seven,72544,72544,,2000000,Apr 15 1998,R,,October Films,Original Screenplay,Comedy,,Shane Meadows,,6.9,1417
Twin Falls Idaho,985341,1027228,,500000,Jul 30 1999,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810
Three Kingdoms: Resurrection of the Dragon,0,22139590,,20000000,Apr 03 2008,R,,,Based on Book/Short Story,Action,Historical Fiction,,,,
3 Men and a Baby,167780960,167780960,,15000000,Nov 25 1987,,,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,,5.7,16764
3 Ninjas Kick Back,11744960,11744960,,20000000,May 06 1994,PG,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,,17,3.2,3107
Forty Shades of Blue,75828,172569,,1500000,Sep 28 2005,R,,Vitagraph Films,Original Screenplay,Drama,,,,6,873
42nd Street,2300000,2300000,,439000,Mar 09 2033,,,Warner Bros.,Based on Book/Short Story,Musical,,,95,7.7,4263
Four Rooms,4301000,4301000,,4000000,Dec 25 1995,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14,6.4,34328
The Four Seasons,42488161,42488161,,6500000,May 22 1981,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71,7,1814
Four Weddings and a Funeral,52700832,242895809,,4500000,Mar 09 1994,R,,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96,7.1,39003
51 Birch Street,84689,84689,,350000,Oct 18 2006,Not Rated,,Truly Indie,,,,,97,7.4,439
55 Days at Peking,10000000,10000000,,17000000,Dec 31 1962,,,,Original Screenplay,Drama,,,57,6.8,2104
Nine 1/2 Weeks,6734844,6734844,,18000000,Feb 21 1986,,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,,5.4,12731
AstÈrix aux Jeux Olympiques,999811,132999811,,113500000,Jul 04 2008,Not Rated,,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,,,4.9,5620
The Abyss,54243125,54243125,,70000000,Aug 09 1989,PG-13,,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88,7.6,51018
Action Jackson,20257000,20257000,,7000000,Feb 12 1988,,,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,,10,4.6,3856
Ace Ventura: Pet Detective,72217396,107217396,,12000000,Feb 04 1994,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543
Ace Ventura: When Nature Calls,108360063,212400000,,30000000,Nov 10 1995,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,,5.6,51275
April Fool's Day,12947763,12947763,,5000000,Mar 27 1986,,,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,,31,,
Among Giants,64359,64359,,4000000,Mar 26 1999,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,,,,5.7,546
Annie Get Your Gun,8000000,8000000,,3768785,May 17 1950,,,MGM,Based on Book/Short Story,Musical,,,100,7.1,1326
Alice in Wonderland,0,0,,3000000,Jul 28 1951,,,RKO Radio Pictures,Based on Book/Short Story,Musical,,,20,6.7,63458
The Princess and the Cobbler,669276,669276,,24000000,Aug 25 1995,G,,Miramax,Original Screenplay,Adventure,Fantasy,,,7.3,893
The Alamo,7900000,7900000,,12000000,Oct 24 1960,PG-13,,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54,5.9,10063
Alexander's Ragtime Band,4000000,4000000,,2000000,Dec 31 1937,,,20th Century Fox,Original Screenplay,Drama,,,,,
Alive,36299670,36299670,,32000000,Jan 15 1993,R,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124
Amen,274299,274299,,14000000,Jan 24 2003,Not Rated,,Kino International,Based on Play,Drama,,Costa-Gavras,,7.4,5416
American Graffiti,115000000,140000000,,777000,Aug 11 1973,,,Universal,Original Screenplay,Comedy,,George Lucas,97,7.6,30952
American Ninja 2: The Confrontation,4000000,4000000,,350000,Dec 31 1986,,,,Original Screenplay,Action,,Sam Firstenberg,,3.7,2495
The American President,60022813,107822813,,62000000,Nov 17 1995,PG-13,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90,6.8,22780
Annie Hall,38251425,38251425,,4000000,Apr 20 1977,,,MGM,Original Screenplay,Comedy,,Woody Allen,98,8.2,65406
